transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,is_outlier,date_imputed,amount_was_invalid
T4999,U018,2023-04-25,expense,educaton,3888.0,credit card,ahmedabad,Movie tickets,False,False,False
T12828,U133,2021-04-16,expense,rent,649.0,unknown,hyderabad,asdfgh,False,True,False
T7403,U091,2021-04-16,income,freelance,13239.0,cash,ban,Books,False,True,False
T12350,U097,2021-04-16,expense,fod,6299.0,bank transfer,ahmedabad,Electricity bill,False,True,False
T7495,U088,2021-04-16,expense,entertainment,2287.0,credit card,hyderabad,,False,True,False
T12465,U042,2021-04-16,expense,foods,4168.0,unknown,unknown,test,False,True,False
T4518,U026,2021-04-16,expense,education,5768.0,crd,lucknow,Uber ride,False,True,True
T9824,U061,2024-12-12,income,salary,62061.0,crd,ahm,...,False,False,False
T0741,U053,2021-04-16,expense,utilties,4712.0,upi,kol,Grocery shopping,False,True,True
T12403,U004,2021-04-16,income,others,59543.0,upi,luc,Gym membership,False,True,False
T5282,U016,2022-04-15,expense,utilties,999999999.0,crd,del,,False,False,False
T6861,U112,2021-04-18,expense,utility,4262.0,upi,ahm,Uber ride,False,False,False
T9446,U006,2021-04-16,expense,utlities,5767.0,bank transfer,bangalore,,False,True,False
T3016,U099,2021-04-16,expense,rentt,23760.0,crd,bangalore,Electricity bill,False,True,False
T11564,U148,2021-04-16,expense,food,898.0,upi,luc,Restaurant dinner,False,True,False
T11382,U111,2021-04-16,income,freelance,25143.0,credit card,chennai,,False,True,False
T3133,U024,2021-04-16,expense,rent,9567.0,bank transfer,pune,ATM withdrawal,False,True,False
T1982,U089,2021-02-27,income,others,49683.0,unknown,lucknow,xyz123,False,False,False
T7154,U039,2021-04-16,expense,food,222.0,upi,bangalore,misc,False,True,False
T2699,U092,2021-04-16,expense,travel,606.0,upi,luc,Doctor consultation,False,True,True
T5774,U005,2021-02-14,expense,food,7406.0,credit card,bangalore,xyz123,False,False,False
